Time,anxbtc,cavirtex,coinbase,kraken,localbitcoins,mtgox,quadrigacx,wallofcoins
2014-01-22 00:00:00 UTC,,148.4213,,,33.3264,8.71299281,17.23264608,
2014-01-23 00:00:00 UTC,,168.3409,,,27.0586,16.39802366,20.51704518,
2014-01-24 00:00:00 UTC,,412.6229,,,31.3265,16.81273498,10.29210806,
2014-01-25 00:00:00 UTC,,331.8094,,,35.2143,54.39633326,16.63652024,
2014-01-26 00:00:00 UTC,,99.7931,,,8.8471,65.18635559,16.7484618,
2014-01-27 00:00:00 UTC,,404.0113,,,27.1949,31.44749897,21.71426966,
2014-01-28 00:00:00 UTC,,218.1876,,,13.205,46.15049196,30.5989552,
2014-01-29 00:00:00 UTC,,213.1489,,,13.2159,15.49376417,9.92619774,
2014-01-30 00:00:00 UTC,,249.0263,,,31.6099,19.18903498,9.55737695,
2014-01-31 00:00:00 UTC,,241.8417,,,23.9972,21.20273209,12.54365057,
2014-02-01 00:00:00 UTC,,236.3765,,,21.0382,10.13736173,37.46042435,
2014-02-02 00:00:00 UTC,,203.2298,,,11.0195,39.96180546,10.04901658,
2014-02-03 00:00:00 UTC,,83.319,,,36.3671,3.2620645,12.09806102,
2014-02-04 00:00:00 UTC,,172.0617,,,29.7606,6.59027293,18.79057677,
2014-02-05 00:00:00 UTC,,183.5485,,,21.389,18.00735426,15.78771609,
2014-02-06 00:00:00 UTC,,386.6474,,,20.6137,81.63916667,18.13971269,
2014-02-07 00:00:00 UTC,,1068.8857,,,31.3852,295.41655031,25.31918418,
2014-02-08 00:00:00 UTC,,571.1847,,,8.2812,214.25764514,9.60153825,
2014-02-09 00:00:00 UTC,,225.8635,,,19.6588,33.4878571,7.14193799,
2014-02-10 00:00:00 UTC,,774.3577,,,26.1598,83.86288034,19.49647674,
2014-02-11 00:00:00 UTC,,529.5785,,,24.3609,99.97592127,12.56612897,
2014-02-12 00:00:00 UTC,,294.0525,,,36.5936,87.3314839,17.57770999,
2014-02-13 00:00:00 UTC,,411.4036,,,30.0615,40.233874,24.78642655,
2014-02-14 00:00:00 UTC,,1155.024,,,23.9386,89.45912544,16.43043279,
2014-02-15 00:00:00 UTC,,145.4347,,,19.5309,61.90985623,16.29045691,
2014-02-16 00:00:00 UTC,,352.2362,,,7.0548,198.29837672,18.1256,
2014-02-17 00:00:00 UTC,,147.9664,,,18.4101,42.24435368,13.76439265,
2014-02-18 00:00:00 UTC,,212.0338,,,22.5069,35.5690793,19.461,
2014-02-19 00:00:00 UTC,,108.9478,,,25.8876,20.52440515,28.81979606,
2014-02-20 00:00:00 UTC,,751.991,,,22.8793,210.35030512,23.75411592,
2014-02-21 00:00:00 UTC,,600.7287,,,18.4076,115.61149713,23.85409,
2014-02-22 00:00:00 UTC,,197.9836,,,17.136,112.4198075,33.72387599,
2014-02-23 00:00:00 UTC,,234.451,,,9.499,127.82705546,7.2177,
2014-02-24 00:00:00 UTC,,295.9243,,,27.3016,107.91424757,22.22172998,
2014-02-25 00:00:00 UTC,,2148.1901,,,23.5752,39.15962356,53.69093547,
2014-02-26 00:00:00 UTC,,312.2906,,,23.3361,,34.24337299,
2014-02-27 00:00:00 UTC,,313.8827,,,17.238,,29.57505,
2014-02-28 00:00:00 UTC,,333.5837,,,27.0462,,12.7521661,
2014-03-01 00:00:00 UTC,,146.9371,,,9.7271,,16.33467575,
2014-03-02 00:00:00 UTC,,191.2505,,,14.0553,,28.45806472,
2014-03-03 00:00:00 UTC,,549.368,,,31.7564,,33.06039563,
2014-03-04 00:00:00 UTC,,325.1681,,,30.4696,,46.81528139,
2014-03-05 00:00:00 UTC,,224.7993,,,28.3229,,25.55588003,
2014-03-06 00:00:00 UTC,,216.0701,,,20.1761,,22.47886607,
2014-03-07 00:00:00 UTC,,241.9878,,,21.2437,,51.1217727,
2014-03-08 00:00:00 UTC,,119.0834,,,9.6633,,15.04877,
2014-03-09 00:00:00 UTC,,150.3865,,,9.555,,12.50622761,
2014-03-10 00:00:00 UTC,,124.872,,,18.1521,,29.26990595,
2014-03-11 00:00:00 UTC,,179.3832,,,20.213,,30.8242037,
2014-03-12 00:00:00 UTC,,132.9027,,,26.8624,,43.17651832,
2014-03-13 00:00:00 UTC,,129.0471,,,17.5952,,20.5379804,
2014-03-14 00:00:00 UTC,,113.1967,,,34.3811,,21.80803365,
2014-03-15 00:00:00 UTC,,59.9093,,,29.7628,,27.16816,
2014-03-16 00:00:00 UTC,,55.4689,,,10.7698,,8.41707,
2014-03-17 00:00:00 UTC,,103.3375,,,34.0665,,39.76584932,
2014-03-18 00:00:00 UTC,,101.3678,,,28.4445,,14.67973723,
2014-03-19 00:00:00 UTC,,132.2301,,,28.1102971,,36.70072836,
2014-03-20 00:00:00 UTC,,403.0599,,,27.9992017,,18.18406479,
2014-03-21 00:00:00 UTC,,137.4847,,,18.9911564,,17.66638115,
2014-03-22 00:00:00 UTC,,115.5636,,,6.070293,,18.64084,
2014-03-23 00:00:00 UTC,,78.4954,,,9.5076435,,11.590718,
2014-03-24 00:00:00 UTC,,339.2274,,,20.2653487,,20.34523542,
2014-03-25 00:00:00 UTC,,132.4242,,,28.5657841,,31.65816786,
2014-03-26 00:00:00 UTC,,133.1507,,,14.7879552,,12.78478588,
2014-03-27 00:00:00 UTC,,630.3125,,,37.0888342,,74.11951356,
2014-03-28 00:00:00 UTC,,351.8255,,,23.3113766,,15.5286246,
2014-03-29 00:00:00 UTC,,71.187,,,24.612549,,21.84203,
2014-03-30 00:00:00 UTC,,589.8182,,,12.9915568,,60.21517959,
2014-03-31 00:00:00 UTC,,337.5792,,,36.4470635,,29.5619896,
2014-04-01 00:00:00 UTC,,324.1277,,,31.6375497,,10.16706008,
2014-04-02 00:00:00 UTC,,281.5527,,,19.4206634,,50.67850979,
2014-04-03 00:00:00 UTC,,493.8134,,,42.5244757,,34.85489416,
2014-04-04 00:00:00 UTC,,221.6627,,,14.5071058,,25.49340768,
2014-04-05 00:00:00 UTC,,98.7314,,,15.2728916,,32.06989247,
2014-04-06 00:00:00 UTC,,78.0367,,,14.2572531,,13.14524633,
2014-04-07 00:00:00 UTC,,142.2862,,,20.916419,,23.17334046,
2014-04-08 00:00:00 UTC,,116.0346,,,16.1022228,,17.891,
2014-04-09 00:00:00 UTC,,119.105,,,23.4450941,,31.20288101,
2014-04-10 00:00:00 UTC,0.0757999,841.8857,,,34.7750735,,54.0888908,
2014-04-11 00:00:00 UTC,,807.041,,,27.4694633,,69.74842959,
2014-04-12 00:00:00 UTC,,101.9168,,,28.4604235,,12.54567756,
2014-04-13 00:00:00 UTC,,184.3663,,,10.2936871,,38.37421754,
2014-04-14 00:00:00 UTC,,454.3547,,,28.5278307,,52.53521862,
2014-04-15 00:00:00 UTC,,456.2394,,,24.7933779,,40.46665281,
2014-04-16 00:00:00 UTC,,228.9131,,,31.7012889,,41.95648439,
2014-04-17 00:00:00 UTC,,183.2085,,,24.3918634,,8.25965101,
2014-04-18 00:00:00 UTC,,222.6297,,,4.0125613,,30.75185798,
2014-04-19 00:00:00 UTC,,111.432,,,11.9272042,,21.72753255,
2014-04-20 00:00:00 UTC,,91.1319,,,5.8915138,,17.57674942,
2014-04-21 00:00:00 UTC,,88.3961,,,10.8333165,,12.58948345,
